"Period","Red.y","Blue.y","RedActivists.y","RedVoters.y","BlueVoters.y","BlueActivists.y"
159,-1.043860827,1.640022511,-0.352983518,-1.222254676,0.415734596,0.003111594
160,-1.300823258,1.659205414,-1.032195329,-1.027763452,0.537967942,0.952497456
161,-1.421307803,1.417315489,-0.986218614,-1.506133476,0.669779872,0.952711341
162,-1.379606978,1.384928636,-0.409159178,-1.54491762,0.850468648,0.096045081
163,-1.119196605,1.608098266,-0.228697304,-1.30875691,0.723705416,0.306654064
164,-0.991177385,1.783077619,-0.458780569,-1.295545992,0.77241499,-0.48918066
165,-0.413311866,1.742956103,-0.739596334,-1.186512938,0.407520468,0.218598704
166,-0.544436646,1.755548465,-0.048292804,-1.087650889,-0.016738141,0.05801168
167,0.319336818,1.426867374,0.200201091,-0.800324113,0.063081583,-0.353450553
168,-0.330219686,1.463856041,-0.835062705,-0.861395488,0.574018336,-0.234142667
