"who","color","heading","xcor","ycor","hidden.","this.district.cand","incumbent.","valence","util.temp","position.obs.d1","position.obs.d2","position.obs.d3","position.obs.last.d1","position.obs.last.d2","position.obs.last.d3"
"43338","15","39","2.930295329","-5.408704811","TRUE","167","FALSE","0.759794408","1.265235339","2.930295328524572","-5.408704811267106","0.41378505864476867","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43339","15","39","2.973001762","5.000665886","TRUE","138","FALSE","0.187093842","1.679703815","2.9730017616189004","5.000665885687265","1.4450532348116707","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43340","15","39","3.212344457","2.749299052","TRUE","130","FALSE","0.294759252","1.21026393","3.2123444568164428","2.749299052295057","0.325585632130571","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43341","15","39","-0.100437911","-0.490777873","TRUE","183","FALSE","0.323589315","0.783455709","-0.10043791097606114","-0.4907778725655626","2.6973051580914515","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43342","15","39","3.407969001","-3.171270806","TRUE","169","FALSE","0.970820822","3.587942399","3.407969000832627","-3.171270805554148","-0.6092274539095841","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43343","15","39","-0.546895878","-3.038741826","TRUE","16","FALSE","0.313733915","3.709923423","-0.5468958780074655","-3.0387418261616173","-1.5120654478448814","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43344","15","39","7.853324638","-6.299090128","TRUE","155","FALSE","1.898220672","8.668783157","7.853324638195402","-6.299090127738625","2.3506318012374448","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43345","15","39","5.629440344","-6.151951269","TRUE","84","FALSE","2.733953173","2.473587282","5.629440344471921","-6.1519512688590945","4.3648966031896705","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43346","15","39","-0.430198452","-11.04809445","TRUE","205","FALSE","0.402696851","9.040753277","-0.4301984516546544","-11.048094450898919","0.7934855310508286","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43347","15","39","6.294166108","-9.802380135","TRUE","140","FALSE","1.397061665","2.162469729","6.294166108131584","-9.802380135454527","-3.6088516743937458","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43348","15","39","4.989915646","-10.7927338","TRUE","111","FALSE","1.397061665","2.162469729","4.989915646498376","-10.79273379912571","-4.590814559426566","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43349","15","39","5.955310245","1.454687352","TRUE","28","FALSE","0.326473205","3.645024872","5.955310244776154","1.4546873521505774","2.007700441934793","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43350","15","39","-0.651423351","-3.841010288","TRUE","23","FALSE","0.414808092","2.787518901","-0.6514233507985803","-3.8410102882869475","-1.0812740744409464","0.5020116636000652","-8.151584178092092","0.3609859678620408"
