"who","color","heading","xcor","ycor","in.bounds.","adaptive.","this.district.act","pref.d1","pref.d2","pref.d3","this.act.sal.d1","this.act.sal.d2","this.act.sal.d3"
"2344","0","162","-1.260627419","-11.63043343","TRUE","TRUE","5","-1.260627418674666","-11.630433431469736","4.74026216273624","0.6044243153365254","0.3955755769354917","1.0772798284443933E-7"
"2345","15","153","12.84478315","-5.607119108","TRUE","FALSE","5","12.844783149439236","-5.60711910795031","14.176773184063357","0.376932419553646","0.5718123850862273","0.051255195360126724"
"2346","15","221","20.40155966","-0.634266331","TRUE","TRUE","5","20.40155966291085","-0.6342663311987242","2.931293194995106","0.37105906542456696","0.0619221282250752","0.5670188063503578"
"2347","0","221","11.99712495","0.308746751","TRUE","TRUE","5","11.99712495285773","0.30874675117692435","9.140126941075387","0.28132532363849133","0.7186472971213713","2.737924013738492E-5"
"2348","105","45","-1.882472665","8.794579277","TRUE","TRUE","6","-1.8824726652329626","8.794579277315577","-3.133311664738029","0.28486745014303105","0.7151325498569505","1.8490635439687552E-14"
"2349","0","161","1.375776319","-0.368881468","TRUE","TRUE","6","1.3757763186742602","-0.3688814679293448","5.26718750594167","0.8040098549149874","0.03633478394313346","0.15965536114187912"
"2350","0","216","-5.770173425","9.9028262","TRUE","TRUE","6","-5.770173425346249","9.902826200063096","-2.6149855103434536","0.9565042703840824","0.043479192770384964","1.6536845532623533E-5"
"2351","0","12","-7.536308738","-12.38513883","TRUE","TRUE","6","-7.536308737626478","-12.385138834224344","-8.485291809151844","0.2935430647871713","0.2578638354095842","0.4485930998032446"
"2352","105","293","-8.245287388","5.985814081","TRUE","TRUE","6","-8.245287387965018","5.985814080941111","-1.4055659993684617","0.9642293063532961","0.033982470577512046","0.0017882230691918077"
"2353","0","11","10.38982266","0.098422676","TRUE","TRUE","6","10.38982266095681","0.09842267554714834","-6.9742427741101745","0.3195334759481042","0.6246806678631196","0.05578585618877616"
"2354","0","52","-15.02679624","-3.608579903","TRUE","TRUE","6","-15.026796243257166","-3.608579903197959","-0.8080722086237081","0.281464791285481","0.6454081844853198","0.0731270242291993"
"2355","0","159","-4.8430869","0.90737036","TRUE","FALSE","6","-4.843086900071037","0.9073703595641436","-5.403313573828458","0.35709252410345627","0.6404738351220293","0.0024336407745144356"
"2356","105","263","1.749282049","20.34597813","TRUE","TRUE","6","1.7492820487475218","20.345978126451435","-7.763500269055899","0.3307471308346706","0.6692528575546886","1.1610640795946744E-8"
